season,beta,kappa,seed,start_month,moore,suit_thresh,latency_period,a_s,a_l,a_ld,cluster
2,0,1000,0,5,1,0,3,150,75,50,261
2,2,1000,1,3,3,0,2,300,0,0,155
2,1,1000,0,4,2,0,3,150,100,150,312
1,2,500,0,5,3,0,2,600,200,0,98
2,2,500,0,5,3,0,3,50,50,75,231
2,2,500,0,5,3,0,3,25,50,150,236
2,0,1000,0,5,1,0,3,150,0,75,268
1,1,500,0,3,3,0,2,150,50,0,76
2,1,1000,0,4,2,0,3,125,50,25,290
2,1,500,0,4,2,0,3,100,75,100,306
2,2,1000,0,5,3,0,3,150,75,75,207
2,1,500,0,4,3,0,3,150,0,50,353
2,1,1000,0,5,3,0,2,600,0,0,124
1,1,1000,1,4,2,0,2,25,15,0,69
2,1,1000,0,4,2,0,3,150,100,75,306
2,2,500,0,4,2,0,3,150,25,150,298
2,1,500,0,3,3,0,2,150,50,0,76
2,1,500,0,4,2,0,3,125,25,150,306
2,1,500,0,5,3,0,3,150,25,75,240
1,2,1000,1,3,3,0,2,300,0,0,155
1,0,1000,0,3,3,0,2,400,0,0,118
2,2,1000,0,4,3,0,3,125,0,150,350
1,1,500,0,4,2,0,1,300,0,0,10
2,1,1000,0,5,1,0,1,200,200,0,437
2,2,500,0,3,1,0,2,25,0,5,404
2,2,1000,0,5,3,0,3,150,0,50,217
2,0,500,0,3,2,0,1,600,0,0,7
2,2,500,0,5,2,0,3,50,50,125,202
2,2,500,0,5,2,0,3,75,0,25,190
1,0,1000,1,4,2,0,2,100,50,0,24
2,2,1000,0,4,3,0,3,200,50,200,332
1,1,500,0,4,3,0,2,600,400,0,95
1,2,500,0,4,1,0,3,300,0,50,408
2,2,500,0,4,3,0,3,400,100,100,334
2,2,1000,0,5,1,0,1,600,400,0,431
2,2,500,1,5,3,0,2,200,0,0,145
1,1,1000,0,3,3,0,2,300,0,0,117
2,1,500,0,5,3,0,3,125,50,125,243
1,0,1000,1,4,2,0,2,50,100,0,36
1,2,1000,1,4,2,0,2,200,100,0,31
2,2,500,0,5,3,0,3,150,50,125,204
2,2,1000,0,4,3,0,3,75,50,150,342
1,0,1000,0,4,3,0,2,150,50,0,78
2,1,1000,0,5,2,0,3,400,0,200,178
2,2,1000,0,5,2,0,3,200,0,150,181
2,1,1000,0,4,2,0,3,200,600,600,310
2,2,500,0,5,2,0,3,600,400,400,162
2,1,1000,0,4,2,0,3,100,50,75,306
2,0,1000,0,5,1,0,1,300,50,0,441
2,0,500,1,4,2,0,2,150,100,0,43
2,2,500,0,5,3,0,3,75,0,125,218
2,2,1000,1,5,3,0,2,600,0,0,142
2,2,500,0,5,3,0,3,400,0,600,223
2,2,1000,0,5,2,0,3,100,100,100,195
2,2,500,0,5,2,0,3,200,100,200,161
